Name,Score,1_Score,1_Halfway Score,1_Driving Accuracy,1_Greens In Regulation,1_Putting Average,1_Stroke Differential,1_Scrambling,1_Birdie/Bogey,1_Consecutive Cuts,1_Time,2_Score,2_Halfway Score,2_Driving Accuracy,2_Greens In Regulation,2_Putting Average,2_Stroke Differential,2_Scrambling,2_Birdie/Bogey,2_Consecutive Cuts,2_Time
Billy Horschel,22.0,12.0,11.0,62.5,63.89,1.717,0.7,69.23,1.73,3.0,1.0,9.0,8.0,69.64,62.5,1.644,0.8,74.07,2.29,2.0,3.0
Cameron Tringale,22.0,10.0,5.0,50.0,70.83,1.588,1.2,47.62,1.83,4.0,1.0,6.0,3.0,67.86,70.83,1.804,1.66,80.95,2.29,3.0,4.0
Mackenzie Hughes,22.0,11.0,6.0,58.93,63.89,1.652,0.95,65.38,2.11,6.0,1.0,7.0,7.0,55.36,75.0,1.815,0.81,61.11,1.89,5.0,2.0
Keith Mitchell,23.0,7.0,2.0,64.29,62.5,1.578,1.95,74.07,2.78,3.0,1.0,10.0,9.0,66.07,69.44,1.82,0.06,59.09,1.36,2.0,2.0
Talor Gooch,23.0,12.0,10.0,69.64,63.89,1.674,0.7,69.23,2.11,1.0,1.0,13.0,12.0,62.5,72.22,1.904,0.95,75.0,1.25,7.0,5.0
Ryan Palmer,23.0,11.0,7.0,51.79,55.56,1.7,0.3,68.75,1.45,1.0,3.0,11.0,11.0,55.36,58.33,1.643,0.96,60.0,1.33,1.0,13.0
Keegan Bradley,24.0,8.0,6.0,69.64,69.44,1.66,1.7,68.18,2.38,2.0,1.0,10.0,3.0,57.14,80.56,1.845,0.66,50.0,1.45,1.0,4.0
Robert Streb,24.0,9.0,5.0,62.5,66.67,1.667,1.45,70.83,2.25,1.0,1.0,16.0,10.0,53.57,61.11,1.75,-0.95,60.71,1.0,1.0,3.0
Russell Henley,24.0,15.0,10.0,71.43,62.5,1.733,-0.05,62.96,1.55,2.0,1.0,1.0,0.0,69.64,73.61,1.774,2.31,68.42,2.5,1.0,2.0
Max Homa,25.0,14.0,10.0,66.07,66.67,1.688,0.2,58.33,1.64,4.0,1.0,17.0,7.0,50.0,59.72,1.674,-1.2,48.28,0.94,3.0,3.0
Maverick McNealy,25.0,11.0,9.0,75.0,66.67,1.667,0.95,50.0,1.67,7.0,1.0,6.0,2.0,66.07,73.61,1.792,1.66,73.68,2.83,5.0,4.0
Collin Morikawa,25.0,11.0,11.0,73.21,68.06,1.837,0.3,73.91,1.71,6.0,3.0,0.0,2.0,60.71,75.0,1.704,4.2,77.78,4.75,5.0,5.0
Cameron Champ,26.0,11.0,8.0,64.29,69.44,1.64,0.95,50.0,1.54,4.0,1.0,12.0,16.0,64.29,70.83,1.745,0.05,42.86,1.33,3.0,3.0
Carlos Ortiz,26.0,14.0,9.0,57.14,62.5,1.733,0.2,55.56,1.54,2.0,1.0,14.0,6.0,66.07,65.28,1.745,-0.45,64.0,1.4,1.0,3.0
Kevin Kisner,26.0,0.0,7.0,62.5,80.56,1.776,2.56,64.29,2.88,6.0,2.0,25.0,12.0,67.86,61.11,1.659,-3.2,50.0,1.13,5.0,3.0
Phil Mickelson,26.0,9.0,8.0,57.14,61.11,1.659,0.8,64.29,1.58,1.0,3.0,15.0,7.0,76.79,70.83,1.745,-0.86,47.62,1.31,3.0,8.0
Tony Finau,0.0,13.0,7.0,58.93,65.28,1.702,-0.2,60.0,1.55,3.0,2.0,8.0,7.0,67.86,69.44,1.68,1.16,59.09,2.0,2.0,3.0
Cameron Smith,0.0,2.0,2.0,55.36,58.33,1.5,2.55,73.33,2.56,3.0,2.0,13.0,7.0,57.14,65.28,1.66,0.95,56.0,1.38,2.0,4.0
Jon Rahm,2.0,4.0,6.0,69.64,80.56,1.759,3.2,57.14,2.57,5.0,4.0,0.0,2.0,51.79,68.06,1.755,3.77,69.57,1.88,4.0,9.0
Tom Hoge,5.0,13.0,7.0,67.86,62.5,1.844,-0.25,66.67,1.0,2.0,8.0,13.0,6.0,66.07,59.72,1.837,0.52,51.72,0.68,1.0,9.0
Justin Thomas,5.0,11.0,7.0,53.57,68.06,1.694,0.3,60.87,1.67,5.0,2.0,14.0,10.0,64.29,69.44,1.84,0.7,63.64,1.11,4.0,4.0
Alex Noren,5.0,1.0,6.0,75.0,73.61,1.698,2.64,89.47,9.5,1.0,7.0,10.0,6.0,62.5,59.72,1.651,1.78,58.62,1.33,7.0,11.0
Erik van Rooyen,6.0,7.0,8.0,71.43,77.78,1.768,0.81,50.0,1.91,3.0,1.0,13.0,8.0,73.21,63.89,1.696,-0.09,57.69,1.45,1.0,3.0
Corey Conners,7.0,14.0,9.0,73.21,65.28,1.681,-0.45,52.0,1.23,2.0,2.0,10.0,7.0,66.07,75.0,1.759,1.7,50.0,1.44,1.0,4.0
Keith Mitchell,7.0,10.0,9.0,66.07,69.44,1.82,0.06,59.09,1.36,2.0,1.0,3.0,7.0,67.86,72.22,1.654,2.41,70.0,3.5,1.0,3.0
Kevin Na,7.0,0.0,6.0,67.86,81.94,1.712,2.56,61.54,2.75,4.0,1.0,10.0,11.0,67.86,55.56,1.75,0.55,71.88,1.67,3.0,2.0
Harold Varner III,8.0,11.0,8.0,62.5,79.17,1.807,-0.19,33.33,1.6,2.0,1.0,5.0,5.0,80.36,76.39,1.727,2.05,76.47,4.25,1.0,6.0
Patrick Cantlay,8.0,10.0,11.0,66.07,75.0,1.815,0.55,72.22,2.0,1.0,2.0,5.0,3.0,64.29,79.17,1.807,1.75,66.67,2.14,4.0,8.0
Keegan Bradley,8.0,10.0,3.0,57.14,80.56,1.845,0.66,50.0,1.45,1.0,3.0,5.0,5.0,66.07,77.78,1.75,1.64,75.0,4.25,1.0,7.0
Shane Lowry,8.0,10.0,10.0,44.64,66.67,1.688,0.55,66.67,1.8,11.0,2.0,9.0,7.0,71.43,75.0,1.759,1.95,44.44,1.55,10.0,4.0
Hudson Swafford,8.0,7.0,7.0,58.93,79.17,1.737,0.81,40.0,1.57,1.0,1.0,1.0,7.0,85.71,73.61,1.736,2.83,68.42,2.13,3.0,10.0
Robert Streb,9.0,16.0,10.0,53.57,61.11,1.75,-0.95,60.71,1.0,1.0,2.0,9.0,4.0,66.07,75.0,1.722,0.64,66.67,2.67,2.0,7.0
Xander Schauffele,9.0,16.0,15.0,51.79,65.28,1.723,-0.95,52.0,1.33,4.0,2.0,12.0,11.0,50.0,63.89,1.739,1.2,61.54,1.36,3.0,4.0
Pat Perez,9.0,5.0,5.0,71.43,73.61,1.717,1.91,73.68,3.0,1.0,3.0,5.0,2.0,67.86,65.28,1.574,1.64,64.0,2.3,1.0,7.0
Harry Higgs,9.0,3.0,11.0,53.57,73.61,1.642,1.81,47.37,2.09,1.0,1.0,30.0,9.0,58.93,56.94,1.829,-3.22,38.71,0.47,1.0,11.0
Sungjae Im,9.0,4.0,8.0,69.64,86.11,1.871,1.56,70.0,3.75,6.0,1.0,16.0,13.0,62.5,68.06,1.837,-0.95,56.52,1.0,5.0,2.0
Charley Hoffman,10.0,8.0,4.0,62.5,65.28,1.681,1.0,56.0,1.45,14.0,8.0,16.0,6.0,42.86,59.72,1.884,-0.23,44.83,0.58,13.0,9.0
Stewart Cink,10.0,15.0,7.0,57.14,62.5,1.733,-0.7,62.96,1.17,1.0,2.0,8.0,4.0,67.86,75.0,1.722,1.0,50.0,1.89,8.0,8.0
Sam Burns,10.0,0.0,3.0,53.57,65.28,1.638,3.05,76.0,3.29,3.0,2.0,23.0,11.0,46.43,61.11,1.841,-1.55,50.0,0.6,2.0,4.0
Sebastián Muñoz,10.0,5.0,7.0,71.43,80.56,1.776,1.31,57.14,2.13,1.0,1.0,3.0,1.0,69.64,75.0,1.63,2.55,66.67,3.29,2.0,6.0
Aaron Wise,10.0,8.0,10.0,55.36,79.17,1.719,0.56,40.0,1.91,1.0,1.0,19.0,7.0,67.86,69.44,1.86,-1.45,59.09,1.08,6.0,6.0
Cameron Tringale,10.0,6.0,3.0,67.86,70.83,1.804,1.66,80.95,2.29,3.0,3.0,12.0,6.0,60.71,63.89,1.783,1.2,65.38,1.33,2.0,4.0
Mackenzie Hughes,11.0,7.0,7.0,55.36,75.0,1.815,0.81,61.11,1.89,5.0,1.0,7.0,6.0,60.71,72.22,1.75,2.45,60.0,1.89,4.0,4.0
Maverick McNealy,11.0,6.0,2.0,66.07,73.61,1.792,1.66,73.68,2.83,5.0,3.0,6.0,6.0,67.86,70.83,1.706,1.8,85.71,4.25,4.0,6.0
Cameron Champ,11.0,12.0,16.0,64.29,70.83,1.745,0.05,42.86,1.33,3.0,2.0,0.0,4.0,58.93,75.0,1.63,3.16,77.78,4.2,2.0,3.0
Lee Westwood,11.0,12.0,9.0,64.29,70.83,1.745,0.05,47.62,1.36,3.0,2.0,17.0,9.0,64.29,66.67,1.813,-0.05,45.83,0.8,2.0,4.0
Chez Reavie,12.0,5.0,1.0,76.79,70.83,1.686,1.91,71.43,2.0,3.0,3.0,17.0,9.0,67.86,65.28,1.787,-0.05,56.0,1.08,2.0,4.0
Ian Poulter,12.0,5.0,3.0,67.86,68.06,1.714,1.8,78.26,3.6,7.0,2.0,12.0,9.0,66.07,59.72,1.674,1.2,62.07,1.23,6.0,4.0
Billy Horschel,12.0,9.0,8.0,69.64,62.5,1.644,0.8,74.07,2.29,2.0,2.0,16.0,10.0,58.93,75.0,1.87,0.2,50.0,0.91,1.0,4.0
Seamus Power,12.0,12.0,11.0,64.29,76.39,1.782,-0.44,52.94,1.56,10.0,1.0,0.0,2.0,66.07,79.17,1.667,3.08,80.0,6.25,9.0,5.0
Cam Davis,12.0,21.0,13.0,64.29,56.94,1.732,-2.2,48.39,1.0,4.0,2.0,8.0,8.0,64.29,70.83,1.706,1.16,66.67,2.25,3.0,3.0
Talor Gooch,12.0,13.0,12.0,62.5,72.22,1.904,0.95,75.0,1.25,7.0,4.0,9.0,3.0,62.5,65.28,1.787,0.75,64.0,1.56,6.0,8.0
Adam Schenk,12.0,12.0,4.0,66.07,70.83,1.804,0.16,52.38,1.5,4.0,3.0,4.0,4.0,51.79,77.78,1.732,2.08,68.75,3.83,3.0,5.0
Bryson DeChambeau,12.0,4.0,4.0,60.71,66.67,1.604,2.05,62.5,2.4,2.0,2.0,13.0,12.0,46.43,68.06,1.816,0.95,56.52,1.25,1.0,4.0
Doug Ghim,12.0,6.0,4.0,73.21,83.33,1.75,1.8,75.0,5.67,3.0,6.0,8.0,4.0,80.36,72.22,1.75,0.89,80.0,2.43,2.0,7.0
Harris English,12.0,1.0,0.0,67.86,69.44,1.56,2.8,68.18,3.29,8.0,2.0,15.0,11.0,67.86,63.89,1.717,0.45,46.15,1.0,7.0,4.0
Brooks Koepka,12.0,18.0,12.0,48.21,59.72,1.721,-1.45,55.17,0.92,4.0,2.0,7.0,6.0,64.29,73.61,1.755,2.45,57.89,1.89,3.0,4.0
Joel Dahmen,12.0,15.0,8.0,78.57,73.61,1.811,-0.59,42.11,1.14,4.0,3.0,15.0,8.0,69.64,65.28,1.894,0.45,64.0,1.0,3.0,4.0
Scottie Scheffler,13.0,7.0,3.0,64.29,72.22,1.673,1.3,60.0,2.11,5.0,2.0,8.0,4.0,66.07,70.83,1.725,2.2,61.9,1.88,4.0,4.0
Viktor Hovland,13.0,14.0,11.0,66.07,62.5,1.711,-0.45,66.67,1.4,2.0,2.0,9.0,10.0,62.5,70.83,1.784,1.95,66.67,1.88,1.0,4.0
Hideki Matsuyama,13.0,0.0,10.0,69.64,70.83,1.686,3.05,71.43,3.0,1.0,2.0,9.0,8.0,53.57,66.67,1.896,1.52,62.5,0.92,7.0,9.0
Rory McIlroy,13.0,6.0,11.0,75.0,72.22,1.75,1.55,75.0,2.83,6.0,2.0,15.0,11.0,60.71,65.28,1.702,0.45,44.0,1.06,5.0,4.0
Brandt Snedeker,14.0,5.0,6.0,69.64,73.61,1.679,1.91,63.16,2.38,3.0,3.0,11.0,7.0,67.86,75.0,1.778,1.45,50.0,1.33,2.0,4.0
Marc Leishman,14.0,14.0,9.0,50.0,51.39,1.676,-0.45,68.57,1.36,1.0,2.0,1.0,4.0,71.43,72.22,1.673,2.75,70.0,2.71,3.0,8.0
Zach Johnson,14.0,9.0,7.0,76.79,70.83,1.667,1.05,47.62,1.75,2.0,6.0,7.0,5.0,78.57,76.39,1.855,1.25,76.47,1.86,1.0,8.0
K.H. Lee,14.0,4.0,9.0,71.43,79.17,1.877,1.56,73.33,2.11,3.0,1.0,18.0,15.0,76.79,61.11,1.727,-1.45,50.0,0.93,2.0,2.0
Carlos Ortiz,14.0,14.0,6.0,66.07,65.28,1.745,-0.45,64.0,1.4,1.0,2.0,10.0,4.0,69.64,72.22,1.769,0.5,55.0,1.4,1.0,8.0
Webb Simpson,14.0,1.0,4.0,62.5,80.56,1.638,2.31,50.0,2.67,3.0,1.0,8.0,9.0,71.43,68.06,1.694,1.05,60.87,1.8,2.0,2.0
Joaquin Niemann,14.0,9.0,11.0,71.43,61.11,1.636,0.8,67.86,1.8,5.0,2.0,17.0,10.0,57.14,63.89,1.848,-0.05,57.69,0.83,4.0,4.0
Peter Malnati,14.0,14.0,9.0,66.07,62.5,1.711,-0.2,70.37,1.63,1.0,6.0,11.0,7.0,42.86,62.5,1.667,0.25,51.85,1.14,1.0,8.0
Max Homa,14.0,17.0,7.0,50.0,59.72,1.674,-1.2,48.28,0.94,3.0,2.0,14.0,10.0,60.71,66.67,1.896,0.7,79.17,1.29,2.0,4.0
Russell Henley,15.0,1.0,0.0,69.64,73.61,1.774,2.31,68.42,2.5,1.0,1.0,5.0,4.0,78.57,77.78,1.75,2.05,87.5,4.5,3.0,6.0
Andrew Putnam,15.0,5.0,6.0,60.71,79.17,1.754,1.75,60.0,1.89,2.0,8.0,18.0,12.0,71.43,58.33,1.929,-1.42,60.0,0.53,1.0,10.0
Daniel Berger,15.0,2.0,6.0,64.29,75.0,1.704,2.55,66.67,3.33,8.0,2.0,8.0,8.0,73.21,72.22,1.846,2.2,80.0,2.0,7.0,4.0
Kramer Hickok,15.0,12.0,4.0,75.0,77.78,1.821,-0.11,68.75,1.86,2.0,7.0,0.0,1.0,83.93,79.17,1.684,3.0,66.67,3.8,1.0,8.0
Anirban Lahiri,15.0,8.0,10.0,58.93,76.39,1.818,0.56,64.71,1.78,2.0,1.0,1.0,4.0,66.07,75.0,1.63,2.83,66.67,4.17,1.0,5.0
Dylan Frittelli,15.0,6.0,4.0,57.14,69.44,1.72,2.7,72.73,2.43,1.0,4.0,13.0,8.0,41.07,54.17,1.897,0.52,63.64,0.57,1.0,9.0
Chris Kirk,15.0,5.0,7.0,60.71,73.61,1.736,1.31,68.42,2.0,1.0,1.0,4.0,1.0,67.86,77.78,1.75,1.89,87.5,4.5,1.0,7.0
Patton Kizzire,15.0,10.0,7.0,67.86,72.22,1.75,0.66,50.0,1.58,3.0,3.0,5.0,7.0,71.43,79.17,1.649,2.05,53.33,2.75,2.0,6.0
Paul Casey,16.0,2.0,7.0,50.0,66.67,1.667,2.55,79.17,4.0,6.0,2.0,10.0,6.0,62.5,75.0,1.833,1.7,72.22,2.0,5.0,4.0
Scott Piercy,16.0,3.0,4.0,46.43,72.22,1.75,1.81,70.0,2.25,4.0,1.0,20.0,8.0,60.71,73.61,1.811,-1.84,42.11,1.07,2.0,3.0
Kevin Streelman,16.0,1.0,6.0,73.21,86.11,1.71,2.31,30.0,3.14,2.0,1.0,11.0,10.0,66.07,72.22,1.731,1.45,55.0,1.6,1.0,4.0
Abraham Ancer,16.0,0.0,2.0,67.86,70.83,1.667,3.05,85.71,5.0,3.0,2.0,17.0,11.0,60.71,72.22,1.865,-0.05,55.0,1.0,2.0,4.0
Garrick Higgo,16.0,10.0,5.0,55.36,66.67,1.708,0.39,70.83,2.29,1.0,7.0,0.0,6.0,64.29,75.0,1.685,3.08,55.56,2.0,2.0,10.0
Lanto Griffin,16.0,13.0,10.0,66.07,69.44,1.84,0.95,68.18,1.2,4.0,4.0,7.0,4.0,69.64,75.0,1.667,1.14,50.0,2.22,3.0,7.0
Luke List,19.0,13.0,7.0,50.0,73.61,1.755,-0.09,52.63,1.9,3.0,3.0,2.0,2.0,69.64,77.78,1.804,2.58,75.0,4.6,2.0,5.0
James Hahn,20.0,13.0,9.0,66.07,76.39,1.836,-0.69,41.18,1.31,1.0,1.0,2.0,8.0,75.0,73.61,1.679,2.58,63.16,2.88,1.0,5.0
Denny McCarthy,20.0,3.0,8.0,69.64,79.17,1.754,1.81,46.67,2.11,2.0,1.0,15.0,6.0,69.64,65.28,1.702,-0.59,52.0,1.23,1.0,3.0
Jordan Spieth,21.0,6.0,13.0,62.5,68.06,1.633,1.55,60.87,2.0,15.0,2.0,2.0,3.0,66.07,73.61,1.679,3.7,63.16,2.33,14.0,4.0
Gary Woodland,22.0,5.0,3.0,58.93,77.78,1.661,1.91,56.25,2.5,1.0,3.0,14.0,8.0,58.93,59.72,1.837,0.27,44.83,0.59,1.0,9.0
Brian Harman,23.0,14.0,12.0,64.29,59.72,1.767,-0.45,65.52,1.17,2.0,2.0,11.0,7.0,64.29,68.06,1.694,1.45,39.13,1.24,1.0,4.0
Kevin Kisner,0.0,25.0,12.0,67.86,61.11,1.659,-3.2,50.0,1.13,5.0,1.0,20.0,10.0,60.71,65.28,1.809,-0.8,48.0,0.73,4.0,3.0
Branden Grace,0.0,5.0,5.0,50.0,62.5,1.778,2.52,62.96,1.0,2.0,8.0,3.0,4.0,58.93,63.89,1.696,3.53,69.23,2.25,1.0,10.0
Roger Sloan,0.0,6.0,1.0,67.86,79.17,1.772,1.66,66.67,3.2,4.0,2.0,8.0,9.0,58.93,79.17,1.754,1.08,73.33,2.83,3.0,4.0
Si Woo Kim,0.0,29.0,13.0,62.5,55.56,1.775,-4.2,53.13,0.82,1.0,1.0,12.0,5.0,73.21,72.22,1.769,-0.11,60.0,1.67,1.0,6.0
Adam Scott,0.0,14.0,13.0,57.14,59.72,1.674,-0.45,62.07,1.42,5.0,1.0,15.0,10.0,60.71,69.44,1.88,0.45,68.18,1.2,4.0,3.0
Kevin Na,0.0,10.0,11.0,67.86,55.56,1.75,0.55,71.88,1.67,3.0,1.0,2.0,4.0,73.21,68.06,1.551,2.8,60.87,2.78,2.0,5.0
Kevin Streelman,1.0,11.0,10.0,66.07,72.22,1.731,1.45,55.0,1.6,1.0,3.0,7.0,3.0,48.21,62.5,1.867,2.02,62.96,0.92,5.0,8.0
Webb Simpson,1.0,8.0,9.0,71.43,68.06,1.694,1.05,60.87,1.8,2.0,1.0,11.0,9.0,53.57,63.89,1.674,1.45,57.69,1.45,1.0,3.0
Russell Henley,1.0,5.0,4.0,78.57,77.78,1.75,2.05,87.5,4.5,3.0,5.0,6.0,2.0,76.79,69.44,1.74,1.5,81.82,3.25,2.0,7.0
Brendon Todd,2.0,8.0,6.0,85.71,80.56,1.845,1.0,71.43,1.71,1.0,7.0,19.0,8.0,87.5,56.94,1.756,-0.47,64.52,0.92,2.0,10.0
Adam Hadwin,2.0,4.0,0.0,75.0,77.78,1.714,2.16,75.0,3.6,1.0,2.0,12.0,5.0,53.57,52.78,1.763,0.77,55.88,0.67,1.0,8.0
Rory Sabbatini,2.0,19.0,8.0,58.93,51.39,1.757,-1.04,60.0,0.76,2.0,11.0,11.0,11.0,66.07,73.61,1.66,1.09,63.16,2.63,1.0,13.0
Nick Taylor,2.0,16.0,9.0,73.21,72.22,1.865,-0.92,75.0,1.86,3.0,4.0,8.0,3.0,69.64,66.67,1.729,1.3,70.83,2.57,2.0,5.0
Justin Rose,2.0,18.0,11.0,60.71,56.94,1.659,-1.45,54.84,0.93,3.0,1.0,15.0,8.0,58.93,68.06,1.816,0.45,60.87,1.09,2.0,3.0
Scott Piercy,3.0,20.0,8.0,60.71,73.61,1.811,-1.84,42.11,1.07,2.0,2.0,19.0,8.0,66.07,69.44,1.76,-1.45,59.09,1.3,1.0,5.0
Jhonattan Vegas,3.0,2.0,1.0,55.36,76.39,1.673,2.66,64.71,2.75,8.0,2.0,5.0,4.0,55.36,80.56,1.724,2.05,78.57,3.8,7.0,5.0
Tyler McCumber,3.0,14.0,11.0,58.93,61.11,1.841,0.21,71.43,1.0,1.0,11.0,7.0,4.0,82.14,69.44,1.78,1.64,63.64,1.44,3.0,19.0
Denny McCarthy,3.0,15.0,6.0,69.64,65.28,1.702,-0.59,52.0,1.23,1.0,2.0,15.0,7.0,53.57,55.56,1.675,-0.75,65.63,1.25,1.0,7.0
Sepp Straka,3.0,4.0,5.0,67.86,80.56,1.759,2.0,57.14,2.29,1.0,7.0,11.0,8.0,57.14,73.61,1.755,1.09,78.95,3.8,7.0,13.0
Sung Kang,3.0,16.0,4.0,60.71,79.17,1.807,-0.84,60.0,1.63,1.0,2.0,15.0,7.0,71.43,63.89,1.717,-0.86,57.69,1.23,1.0,6.0
Brian Stuard,3.0,4.0,2.0,76.79,83.33,1.767,2.16,66.67,4.0,3.0,2.0,4.0,2.0,78.57,75.0,1.648,2.08,77.78,3.83,2.0,4.0
Harry Higgs,3.0,30.0,9.0,58.93,56.94,1.829,-3.22,38.71,0.47,1.0,10.0,4.0,4.0,48.21,58.33,1.833,2.5,73.33,1.22,1.0,12.0
Chesson Hadley,3.0,13.0,7.0,48.21,66.67,1.729,-0.09,45.83,1.23,1.0,2.0,9.0,2.0,60.71,76.39,1.782,1.05,58.82,2.25,2.0,5.0
K.H. Lee,4.0,18.0,15.0,76.79,61.11,1.727,-1.45,50.0,0.93,2.0,1.0,4.0,4.0,75.0,75.0,1.796,2.16,83.33,3.2,1.0,2.0
Russell Knox,4.0,10.0,2.0,80.36,81.94,1.729,0.39,46.15,1.8,1.0,6.0,8.0,11.0,76.79,66.67,1.792,1.08,70.83,1.63,2.0,9.0
Sungjae Im,4.0,16.0,13.0,62.5,68.06,1.837,-0.95,56.52,1.0,5.0,1.0,11.0,6.0,62.5,75.0,1.722,0.55,72.22,2.67,4.0,5.0
Ben Taylor,4.0,6.0,5.0,60.71,77.78,1.786,1.58,81.25,4.25,1.0,4.0,8.0,11.0,60.71,68.06,1.816,1.08,69.57,1.38,1.0,9.0
Jason Dufner,4.0,8.0,5.0,67.86,75.0,1.796,1.16,66.67,2.29,3.0,2.0,7.0,5.0,66.07,76.39,1.727,1.33,58.82,3.14,2.0,4.0
Matt Kuchar,5.0,14.0,12.0,55.36,59.72,1.767,0.21,68.97,1.22,1.0,11.0,9.0,6.0,78.57,76.39,1.691,1.59,82.35,5.0,2.0,13.0
Alex Smalley,5.0,11.0,5.0,78.57,79.17,1.737,0.55,53.33,2.13,3.0,5.0,8.0,5.0,67.86,62.5,1.644,1.39,59.26,1.55,2.0,19.0
Will Zalatoris,5.0,4.0,5.0,57.14,65.28,1.681,2.05,72.0,2.86,1.0,1.0,18.0,4.0,60.71,72.22,1.808,-1.61,55.0,1.17,1.0,6.0
Sebastián Muñoz,5.0,3.0,1.0,69.64,75.0,1.63,2.55,66.67,3.29,2.0,5.0,13.0,4.0,71.43,76.39,1.764,-0.36,52.94,1.5,1.0,6.0
C.T. Pan,5.0,7.0,10.0,64.29,72.22,1.731,1.33,50.0,1.38,4.0,9.0,20.0,8.0,73.21,62.5,1.756,-0.72,37.04,0.76,3.0,10.0
Chris Kirk,5.0,4.0,1.0,67.86,77.78,1.75,1.89,87.5,4.5,1.0,6.0,13.0,5.0,55.36,55.56,1.7,1.03,68.75,1.2,2.0,10.0
Byeong Hun An,6.0,12.0,8.0,53.57,73.61,1.792,1.2,63.16,1.56,1.0,3.0,16.0,7.0,46.43,68.06,1.816,-1.11,60.87,1.3,1.0,6.0
Sam Ryder,6.0,7.0,6.0,66.07,72.22,1.712,1.41,55.0,1.89,3.0,2.0,1.0,4.0,62.5,81.94,1.78,2.83,92.31,22.0,2.0,4.0
Erik van Rooyen,7.0,13.0,8.0,73.21,63.89,1.696,-0.09,57.69,1.45,1.0,2.0,3.0,5.0,66.07,68.06,1.796,2.33,73.91,1.89,1.0,9.0
Richy Werenski,7.0,7.0,2.0,66.07,77.78,1.696,1.14,62.5,2.57,1.0,6.0,13.0,11.0,60.71,56.94,1.756,0.46,67.74,1.09,3.0,11.0
John Augenstein,7.0,10.0,8.0,53.57,61.11,1.727,1.21,67.86,1.36,1.0,11.0,23.0,6.0,71.43,66.67,1.729,-0.96,41.67,1.07,1.0,34.0
Austin Eckroat,7.0,6.0,8.0,57.14,72.22,1.673,1.66,40.0,1.75,1.0,2.0,10.0,7.0,64.29,69.44,1.84,0.5,63.64,1.33,1.0,7.0
Cameron Percy,7.0,9.0,8.0,75.0,83.33,1.817,0.91,50.0,1.88,5.0,2.0,11.0,5.0,57.14,72.22,1.731,0.33,65.0,1.89,4.0,4.0
Kiradech Aphibarnrat,7.0,10.0,8.0,66.07,79.17,1.789,0.66,53.33,1.5,1.0,2.0,22.0,13.0,64.29,58.33,1.833,-1.39,53.33,0.67,1.0,20.0
Hudson Swafford,7.0,1.0,7.0,85.71,73.61,1.736,2.83,68.42,2.13,3.0,9.0,21.0,9.0,60.71,58.33,1.738,-0.97,36.67,0.7,2.0,10.0
David Lingmerth,7.0,8.0,3.0,71.43,70.83,1.745,1.16,71.43,1.89,2.0,2.0,3.0,4.0,73.21,77.78,1.643,2.33,68.75,3.83,1.0,4.0
Mackenzie Hughes,7.0,7.0,6.0,60.71,72.22,1.75,2.45,60.0,1.89,4.0,3.0,5.0,6.0,66.07,83.33,1.767,1.64,83.33,3.8,3.0,6.0
Camilo Villegas,8.0,12.0,6.0,58.93,72.22,1.788,0.16,60.0,1.4,4.0,2.0,13.0,9.0,57.14,66.67,1.75,-0.17,79.17,2.43,3.0,4.0
Anirban Lahiri,8.0,1.0,4.0,66.07,75.0,1.63,2.83,66.67,4.17,1.0,4.0,11.0,6.0,73.21,66.67,1.729,0.14,66.67,1.75,1.0,6.0
Kevin Tway,8.0,7.0,9.0,57.14,80.56,1.776,1.33,57.14,2.63,4.0,4.0,7.0,6.0,66.07,69.44,1.7,1.55,63.64,2.38,3.0,5.0
Bubba Watson,8.0,12.0,8.0,51.79,77.78,1.804,0.16,56.25,1.71,4.0,2.0,2.0,7.0,69.64,80.56,1.655,2.39,64.29,3.0,3.0,6.0
Aaron Wise,8.0,19.0,7.0,67.86,69.44,1.86,-1.45,59.09,1.08,6.0,5.0,13.0,7.0,76.79,68.06,1.673,-0.25,43.48,1.25,5.0,7.0
Brian Gay,9.0,16.0,8.0,64.29,63.89,1.696,-0.7,50.0,1.23,1.0,5.0,24.0,9.0,58.93,43.06,1.806,-2.5,51.22,0.46,1.0,12.0
Brice Garnett,9.0,6.0,3.0,78.57,75.0,1.778,1.66,61.11,2.0,2.0,2.0,18.0,9.0,82.14,61.11,1.818,-1.42,78.57,1.57,1.0,4.0
Andrew Landry,9.0,16.0,8.0,69.64,66.67,1.667,-0.7,54.17,1.42,1.0,5.0,17.0,12.0,60.71,59.72,1.767,-0.54,62.07,0.91,1.0,11.0
Mark Hubbard,9.0,6.0,4.0,73.21,75.0,1.741,1.66,61.11,2.13,3.0,2.0,6.0,4.0,75.0,76.39,1.709,1.58,70.59,3.5,2.0,4.0
Johnson Wagner,10.0,13.0,11.0,76.79,63.89,1.609,0.59,65.38,2.2,2.0,13.0,15.0,5.0,57.14,59.72,1.744,-0.06,51.72,0.8,1.0,14.0
Keith Mitchell,10.0,3.0,7.0,67.86,72.22,1.654,2.41,70.0,3.5,1.0,2.0,11.0,11.0,66.07,73.61,1.66,1.09,63.16,3.0,6.0,13.0
Harold Varner III,11.0,5.0,5.0,80.36,76.39,1.727,2.05,76.47,4.25,1.0,5.0,10.0,7.0,66.07,77.78,1.804,0.5,56.25,1.71,1.0,7.0
